"11823: Registered vehicles, by contents, type of fuel and year"

"contents";"type of fuel";"year";"11823: Registered vehicles,"
"Private cars";"Petrol";"2016";1196148
"Private cars";"Petrol";"2017";1139998
"Private cars";"Petrol";"2018";1075179
"Private cars";"Petrol";"2019";1031207
"Private cars";"Diesel";"2016";1276947
"Private cars";"Diesel";"2017";1294493
"Private cars";"Diesel";"2018";1290442
"Private cars";"Diesel";"2019";1281019
"Private cars";"Paraffin";"2016";9
"Private cars";"Paraffin";"2017";8
"Private cars";"Paraffin";"2018";11
"Private cars";"Paraffin";"2019";13
"Private cars";"Gas";"2016";116
"Private cars";"Gas";"2017";169
"Private cars";"Gas";"2018";223
"Private cars";"Gas";"2019";233
"Private cars";"Electricity";"2016";97532
"Private cars";"Electricity";"2017";138983
"Private cars";"Electricity";"2018";195351
"Private cars";"Electricity";"2019";260692
"Private cars";"Hydrogen";"2016";41
"Private cars";"Hydrogen";"2017";98
"Private cars";"Hydrogen";"2018";140
"Private cars";"Hydrogen";"2019";146
"Private cars";"Petrol hybrid, chargeable";"2016";32251
"Private cars";"Petrol hybrid, chargeable";"2017";62580
"Private cars";"Petrol hybrid, chargeable";"2018";89657
"Private cars";"Petrol hybrid, chargeable";"2019";108575
"Private cars";"Petrol hybrid, non-chargeable";"2016";55483
"Private cars";"Petrol hybrid, non-chargeable";"2017";76070
"Private cars";"Petrol hybrid, non-chargeable";"2018";92144
"Private cars";"Petrol hybrid, non-chargeable";"2019";108971
"Private cars";"Diesel hybrid, chargeable";"2016";2180
"Private cars";"Diesel hybrid, chargeable";"2017";4735
"Private cars";"Diesel hybrid, chargeable";"2018";6476
"Private cars";"Diesel hybrid, chargeable";"2019";7467
"Private cars";"Diesel hybrid, non-chargeable";"2016";1058
"Private cars";"Diesel hybrid, non-chargeable";"2017";1107
"Private cars";"Diesel hybrid, non-chargeable";"2018";1192
"Private cars";"Diesel hybrid, non-chargeable";"2019";1722
"Private cars";"Other fuel";"2016";41
"Private cars";"Other fuel";"2017";40
"Private cars";"Other fuel";"2018";41
"Private cars";"Other fuel";"2019";45
"Ambulances";"Petrol";"2016";99
"Ambulances";"Petrol";"2017";88
"Ambulances";"Petrol";"2018";85
"Ambulances";"Petrol";"2019";88
"Ambulances";"Diesel";"2016";1005
"Ambulances";"Diesel";"2017";1026
"Ambulances";"Diesel";"2018";1007
"Ambulances";"Diesel";"2019";1030
"Ambulances";"Paraffin";"2016";0
"Ambulances";"Paraffin";"2017";0
"Ambulances";"Paraffin";"2018";0
"Ambulances";"Paraffin";"2019";0
"Ambulances";"Gas";"2016";0
"Ambulances";"Gas";"2017";0
"Ambulances";"Gas";"2018";0
"Ambulances";"Gas";"2019";0
"Ambulances";"Electricity";"2016";0
"Ambulances";"Electricity";"2017";0
"Ambulances";"Electricity";"2018";0
"Ambulances";"Electricity";"2019";0
"Ambulances";"Hydrogen";"2016";0
"Ambulances";"Hydrogen";"2017";0
"Ambulances";"Hydrogen";"2018";0
"Ambulances";"Hydrogen";"2019";0
"Ambulances";"Petrol hybrid, chargeable";"2016";0
"Ambulances";"Petrol hybrid, chargeable";"2017";0
"Ambulances";"Petrol hybrid, chargeable";"2018";0
"Ambulances";"Petrol hybrid, chargeable";"2019";0
"Ambulances";"Petrol hybrid, non-chargeable";"2016";0
"Ambulances";"Petrol hybrid, non-chargeable";"2017";0
"Ambulances";"Petrol hybrid, non-chargeable";"2018";0
